Drug Name,1,2,3,4,5,6,7,8,9,10
Metformin ER / XR,APO,MAR,MINT,TARO/RAN,,,,,,
Methadone Liquid (only brand Methadose/Metadol-D covered for OAT),PMS,JAMP,,,,,,,,
Methadone Tabs,APO,,,,,,,,,
Methazolamide,AA,,,,,,,,,
Methimazole,MAR,JAMP,,,,,,,,
Methoprazine,AA,,,,,,,,,
Methotrexate,AURO,JAMP,APO,PMS,,,,,,
Methotrexate Injection,PMS,,,,,,,,,
Methyldopa,AA,,,,,,,,,
Methylphenidate,PMS,APO,,,,,,,,
Methylphenidate CR (Biphentin),PMS,,,,,,,,,
Methylphenidate ER (Concerta),APO,TEVA/RTP/ACT,,,,,,,,
Metoclopramide,PMS,MAR,PRZ,,,,,,,
Metoclopramide Injection,PMS,JAMP,SDZ,,,,,,,
Metoclopramide Solution,PMS,,,,,,,,,
Metoprolol,APO,JAMP,PMS,TEVA/RTP/ACT,,,,,,
Metoprolol Injection,SDZ,,,,,,,,,
Metoprolol SR,AA,,,,,,,,,
Metronidazole,PMS,APO,AURO,MINT,,,,,,
Mexiletine,TEVA/RTP/ACT,MINT,,,,,,,,
Midazolam Injection,SDZ,,,,,,,,,
Midodrine,MAR,JAMP,APO,,,,,,,
Minocycline,AA,,,,,,,,,
"Min-Ovral Generic (Apo-Ovima, Teva-Portia)",APO,TEVA/RTP,,,,,,,,
Mirabegron,APO,,,,,,,,,
Mirtazapine,TEVA/RTP/ACT,APO,PMS,SDZ,AURO,MYLAN,,,,
Mirtazapine OD,AURO,,,,,,,,,
Misoprostol,AA,,,,,,,,,
Moclobemide,AA,,,,,,,,,
Modafinil,TEVA/RTP/ACT,APO,AURO,MAR,JAMP,,,,,
Mometasone Crm/Lot/Oint,TARO/RAN,TEVA/RTP/ACT,,,,,,,,
Mometasone Nasal Spray,TEVA/RTP/ACT,SDZ,APO,,,,,,,
Montelukast,SDZ,TEVA/RTP/ACT,TARO/RAN,APO,JAMP,MINT,PMS,AURO,MAR,
Morphine,PMS,,,,,,,,,
Morphine Injection,SDZ,,,,,,,,,
Morphine SR,TEVA/RTP/ACT,SDZ,,,,,,,,
Moxifloxacin,SDZ,JAMP,AURO,APO,,,,,,
Moxifloxacin Oph,SDZ,PMS,JAMP,APO,,,,,,
Mupirocin,TARO/RAN,,,,,,,,,
Mycophenolate,SDZ,JAMP,APO,TEVA/RTP/ACT,,,,,,
Mycophenolate Susp,MAR,,,,,,,,,
Mycophenolic Acid,MAR,APO,JAMP,,,,,,,
Nabilone,TEVA/RTP/ACT,PMS,,,,,,,,
Nabumetone,AA,,,,,,,,,
Nadolol,MINT,APO,,,,,,,,
Naloxone Injection,TEVA/RTP/ACT,SDZ,,,,,,,,
Naltrexone,APO,TEVA/RTP/ACT,JAMP,,,,,,,
